ssid,bssid,signal,x,y,signal_percentage
A_306,F8:D1:11:41:11:BC,-76.0,1,2,30
A_306,F8:D1:11:41:11:BC,-74.0,1,5,32
A_306,F8:D1:11:41:11:BC,-73.0,2,4,34
A_306,F8:D1:11:41:11:BC,-77.0,2,5,29
A_306,F8:D1:11:41:11:BC,-76.0,3,1,30
A_306,F8:D1:11:41:11:BC,-76.0,3,3,30
A_306,F8:D1:11:41:11:BC,-78.0,3,5,28
A_306,F8:D1:11:41:11:BC,-76.0,4,2,30
A_306,F8:D1:11:41:11:BC,-18.0,4,3,100
A_306,F8:D1:11:41:11:BC,-78.0,4,5,28
A_306,F8:D1:11:41:11:BC,-72.0,5,1,35
A_306,F8:D1:11:41:11:BC,-76.0,5,2,30
A_306,F8:D1:11:41:11:BC,-71.0,5,3,36
A_306,F8:D1:11:41:11:BC,-77.0,6,1,29
A_306,F8:D1:11:41:11:BC,-78.0,6,2,28
A_306,F8:D1:11:41:11:BC,-78.0,7,1,28
A_306,F8:D1:11:41:11:BC,-80.0,7,5,25
A_306,F8:D1:11:41:11:BC,-82.0,8,1,22
A_306,F8:D1:11:41:11:BC,-78.0,8,3,28
A_306,F8:D1:11:41:11:BC,-82.0,8,4,22
A_306,F8:D1:11:41:11:BC,-76.0,9,1,30
A_306,F8:D1:11:41:11:BC,-78.0,9,2,28
A_306,F8:D1:11:41:11:BC,-78.0,9,3,28
A_306,F8:D1:11:41:11:BC,-76.0,10,1,30
A_306,F8:D1:11:41:11:BC,-75.0,10,2,31
A_306,F8:D1:11:41:11:BC,-83.0,10,4,21
A_306,F8:D1:11:41:11:BC,-78.0,10,5,28
A_306,F8:D1:11:41:11:BC,-12.0,11,1,100
A_306,F8:D1:11:41:11:BC,-72.0,11,2,35
A_306,F8:D1:11:41:11:BC,-78.0,11,5,28
A_306,F8:D1:11:41:11:BC,-82.0,12,2,22
A_306,F8:D1:11:41:11:BC,-78.0,12,4,28
A_306,F8:D1:11:41:11:BC,-70.0,12,5,38
A_306,F8:D1:11:41:11:BC,-75.0,13,1,31
A_306,F8:D1:11:41:11:BC,-16.0,13,2,100
A_306,F8:D1:11:41:11:BC,-76.0,13,4,30
A_306,F8:D1:11:41:11:BC,-69.0,13,5,39
A_306,F8:D1:11:41:11:BC,-72.0,14,1,35
A_306,F8:D1:11:41:11:BC,-78.0,14,2,28
A_306,F8:D1:11:41:11:BC,-98.0,14,3,2
A_306,F8:D1:11:41:11:BC,-72.0,14,5,35
A_306,F8:D1:11:41:11:BC,-75.0,15,1,31
A_306,F8:D1:11:41:11:BC,-72.0,15,3,35
A_306,F8:D1:11:41:11:BC,-76.0,15,4,30
A_306,F8:D1:11:41:11:BC,-76.0,15,5,30
A_306,F8:D1:11:41:11:BC,-73.0,16,1,34
A_306,F8:D1:11:41:11:BC,-76.0,16,2,30
A_306,F8:D1:11:41:11:BC,-69.0,16,3,39
A_306,F8:D1:11:41:11:BC,-74.0,16,4,32
A_306,F8:D1:11:41:11:BC,-75.0,16,5,31
A_306,F8:D1:11:41:11:BC,-78.0,17,1,28
A_306,F8:D1:11:41:11:BC,-72.0,17,2,35
A_306,F8:D1:11:41:11:BC,-72.0,17,3,35
A_306,F8:D1:11:41:11:BC,-69.0,17,4,39
A_306,F8:D1:11:41:11:BC,-70.0,17,5,38
A_306,F8:D1:11:41:11:BC,-74.0,18,1,32
A_306,F8:D1:11:41:11:BC,-72.0,18,2,35
A_306,F8:D1:11:41:11:BC,-66.0,18,3,42
A_306,F8:D1:11:41:11:BC,-66.0,18,4,42
A_306,F8:D1:11:41:11:BC,-70.0,18,5,38
A_306,F8:D1:11:41:11:BC,-70.0,19,1,38
A_306,F8:D1:11:41:11:BC,-67.0,19,2,41
A_306,F8:D1:11:41:11:BC,-68.0,19,3,40
A_306,F8:D1:11:41:11:BC,-67.0,19,4,41
A_306,F8:D1:11:41:11:BC,-67.0,19,5,41
A_306,F8:D1:11:41:11:BC,-64.0,20,1,45
A_306,F8:D1:11:41:11:BC,-65.0,20,2,44
A_306,F8:D1:11:41:11:BC,-63.0,20,3,46
A_306,F8:D1:11:41:11:BC,-64.0,20,4,45
A_306,F8:D1:11:41:11:BC,-62.0,20,5,48
A_306,F8:D1:11:41:11:BC,-68.0,21,1,40
A_306,F8:D1:11:41:11:BC,-63.0,21,2,46
A_306,F8:D1:11:41:11:BC,-63.0,21,3,46
A_306,F8:D1:11:41:11:BC,-64.0,21,4,45
A_306,F8:D1:11:41:11:BC,-63.0,21,5,46
A_306,F8:D1:11:41:11:BC,-66.0,22,1,42
A_306,F8:D1:11:41:11:BC,-64.0,22,2,45
A_306,F8:D1:11:41:11:BC,-63.0,22,3,46
A_306,F8:D1:11:41:11:BC,-64.0,22,4,45
A_306,F8:D1:11:41:11:BC,-64.0,22,5,45
A_306,F8:D1:11:41:11:BC,-65.0,23,1,44
A_306,F8:D1:11:41:11:BC,-68.0,23,2,40
A_306,F8:D1:11:41:11:BC,-66.0,23,3,42
A_306,F8:D1:11:41:11:BC,-66.0,23,4,42
A_306,F8:D1:11:41:11:BC,-66.0,23,5,42
A_306,F8:D1:11:41:11:BC,-64.0,24,1,45
A_306,F8:D1:11:41:11:BC,-68.0,24,2,40
A_306,F8:D1:11:41:11:BC,-66.0,24,3,42
A_306,F8:D1:11:41:11:BC,-68.0,24,4,40
A_306,F8:D1:11:41:11:BC,-68.0,24,5,40
A_306,F8:D1:11:41:11:BC,-68.0,25,1,40
A_306,F8:D1:11:41:11:BC,-74.0,25,2,32
A_306,F8:D1:11:41:11:BC,-70.0,25,3,38
A_306,F8:D1:11:41:11:BC,-68.0,25,4,40
A_306,F8:D1:11:41:11:BC,-62.0,25,5,48
A_306,F8:D1:11:41:11:BC,-66.0,26,1,42
A_306,F8:D1:11:41:11:BC,-70.0,26,3,38
A_306,F8:D1:11:41:11:BC,-70.0,26,4,38
A_306,F8:D1:11:41:11:BC,-66.0,26,5,42
A_306,F8:D1:11:41:11:BC,-67.0,27,1,41
A_306,F8:D1:11:41:11:BC,-74.0,27,3,32
A_306,F8:D1:11:41:11:BC,-76.0,27,4,30
A_306,F8:D1:11:41:11:BC,-72.0,27,5,35
A_306,F8:D1:11:41:11:BC,-70.0,28,1,38
A_306,F8:D1:11:41:11:BC,-78.0,28,2,28
A_306,F8:D1:11:41:11:BC,-78.0,28,3,28
A_306,F8:D1:11:41:11:BC,-74.0,28,4,32
A_306,F8:D1:11:41:11:BC,-72.0,28,5,35
A_306,F8:D1:11:41:11:BC,-68.0,29,1,40
A_306,F8:D1:11:41:11:BC,-78.0,29,2,28
A_306,F8:D1:11:41:11:BC,-74.0,29,5,32
A_306,F8:D1:11:41:11:BC,-74.0,30,1,32
A_306,F8:D1:11:41:11:BC,-64.0,30,2,45
A_306,F8:D1:11:41:11:BC,-71.0,30,3,36
A_306,F8:D1:11:41:11:BC,-74.0,30,4,32
A_306,F8:D1:11:41:11:BC,-73.0,30,5,34
