ssid,bssid,signal,x,y,signal_percentage
A_306,F8:D1:11:41:11:BC,-82.0,1,5,22
A_306,F8:D1:11:41:11:BC,-82.0,2,5,22
A_306,F8:D1:11:41:11:BC,-82.0,4,2,22
A_306,F8:D1:11:41:11:BC,-80.0,4,5,25
A_306,F8:D1:11:41:11:BC,-78.0,5,2,28
A_306,F8:D1:11:41:11:BC,-72.0,5,5,35
A_306,F8:D1:11:41:11:BC,-78.0,6,1,28
A_306,F8:D1:11:41:11:BC,-84.0,7,4,20
A_306,F8:D1:11:41:11:BC,-76.0,8,3,30
A_306,F8:D1:11:41:11:BC,-78.0,8,4,28
A_306,F8:D1:11:41:11:BC,-76.0,8,5,30
A_306,F8:D1:11:41:11:BC,-78.0,9,4,28
A_306,F8:D1:11:41:11:BC,-76.0,9,5,30
A_306,F8:D1:11:41:11:BC,-78.0,10,1,28
A_306,F8:D1:11:41:11:BC,-97.0,10,2,4
A_306,F8:D1:11:41:11:BC,-68.0,10,3,40
A_306,F8:D1:11:41:11:BC,-100.0,10,4,0
A_306,F8:D1:11:41:11:BC,-76.0,10,5,30
A_306,F8:D1:11:41:11:BC,-84.0,11,1,20
A_306,F8:D1:11:41:11:BC,-77.0,11,4,29
A_306,F8:D1:11:41:11:BC,-78.0,11,5,28
A_306,F8:D1:11:41:11:BC,-82.0,12,1,22
A_306,F8:D1:11:41:11:BC,-14.0,12,2,100
A_306,F8:D1:11:41:11:BC,-80.0,12,3,25
A_306,F8:D1:11:41:11:BC,-75.0,13,1,31
A_306,F8:D1:11:41:11:BC,-74.0,13,3,32
A_306,F8:D1:11:41:11:BC,-82.0,13,5,22
A_306,F8:D1:11:41:11:BC,-68.0,14,1,40
A_306,F8:D1:11:41:11:BC,-72.0,14,2,35
A_306,F8:D1:11:41:11:BC,-72.0,15,1,35
A_306,F8:D1:11:41:11:BC,-67.0,15,2,41
A_306,F8:D1:11:41:11:BC,-68.0,15,3,40
A_306,F8:D1:11:41:11:BC,-78.0,15,4,28
A_306,F8:D1:11:41:11:BC,-72.0,15,5,35
A_306,F8:D1:11:41:11:BC,-72.0,16,1,35
A_306,F8:D1:11:41:11:BC,-76.0,16,2,30
A_306,F8:D1:11:41:11:BC,-82.0,16,4,22
A_306,F8:D1:11:41:11:BC,-79.0,16,5,26
A_306,F8:D1:11:41:11:BC,-76.0,17,1,30
A_306,F8:D1:11:41:11:BC,-82.0,17,2,22
A_306,F8:D1:11:41:11:BC,-78.0,17,3,28
A_306,F8:D1:11:41:11:BC,-72.0,17,4,35
A_306,F8:D1:11:41:11:BC,-72.0,17,5,35
A_306,F8:D1:11:41:11:BC,-74.0,18,1,32
A_306,F8:D1:11:41:11:BC,-70.0,18,2,38
A_306,F8:D1:11:41:11:BC,-70.0,18,3,38
A_306,F8:D1:11:41:11:BC,-70.0,18,4,38
A_306,F8:D1:11:41:11:BC,-68.0,18,5,40
A_306,F8:D1:11:41:11:BC,-15.0,19,1,100
A_306,F8:D1:11:41:11:BC,-69.0,19,2,39
A_306,F8:D1:11:41:11:BC,-66.0,19,3,42
A_306,F8:D1:11:41:11:BC,-68.0,19,4,40
A_306,F8:D1:11:41:11:BC,-72.0,19,5,35
A_306,F8:D1:11:41:11:BC,-70.0,20,1,38
A_306,F8:D1:11:41:11:BC,-67.0,20,2,41
A_306,F8:D1:11:41:11:BC,-67.0,20,3,41
A_306,F8:D1:11:41:11:BC,-67.0,20,4,41
A_306,F8:D1:11:41:11:BC,-68.0,20,5,40
A_306,F8:D1:11:41:11:BC,-69.0,21,1,39
A_306,F8:D1:11:41:11:BC,-68.0,21,2,40
A_306,F8:D1:11:41:11:BC,-66.0,21,3,42
A_306,F8:D1:11:41:11:BC,-67.0,21,4,41
A_306,F8:D1:11:41:11:BC,-70.0,21,5,38
A_306,F8:D1:11:41:11:BC,-66.0,22,1,42
A_306,F8:D1:11:41:11:BC,-66.0,22,2,42
A_306,F8:D1:11:41:11:BC,-65.0,22,3,44
A_306,F8:D1:11:41:11:BC,-66.0,22,4,42
A_306,F8:D1:11:41:11:BC,-69.0,22,5,39
A_306,F8:D1:11:41:11:BC,-70.0,23,1,38
A_306,F8:D1:11:41:11:BC,-68.0,23,2,40
A_306,F8:D1:11:41:11:BC,-65.0,23,3,44
A_306,F8:D1:11:41:11:BC,-66.0,23,4,42
A_306,F8:D1:11:41:11:BC,-63.0,23,5,46
A_306,F8:D1:11:41:11:BC,-70.0,24,1,38
A_306,F8:D1:11:41:11:BC,-14.0,24,2,100
A_306,F8:D1:11:41:11:BC,-24.0,24,3,95
A_306,F8:D1:11:41:11:BC,-69.0,24,4,39
A_306,F8:D1:11:41:11:BC,-98.0,24,5,2
A_306,F8:D1:11:41:11:BC,-72.0,25,1,35
A_306,F8:D1:11:41:11:BC,-71.0,25,2,36
A_306,F8:D1:11:41:11:BC,-68.0,25,3,40
A_306,F8:D1:11:41:11:BC,-68.0,25,4,40
A_306,F8:D1:11:41:11:BC,-74.0,25,5,32
A_306,F8:D1:11:41:11:BC,-68.0,26,2,40
A_306,F8:D1:11:41:11:BC,-70.0,26,3,38
A_306,F8:D1:11:41:11:BC,-76.0,27,1,30
A_306,F8:D1:11:41:11:BC,-70.0,27,4,38
A_306,F8:D1:11:41:11:BC,-71.0,27,5,36
A_306,F8:D1:11:41:11:BC,-72.0,28,1,35
A_306,F8:D1:11:41:11:BC,-68.0,28,2,40
A_306,F8:D1:11:41:11:BC,-100.0,28,3,0
A_306,F8:D1:11:41:11:BC,-72.0,28,5,35
A_306,F8:D1:11:41:11:BC,-74.0,29,1,32
A_306,F8:D1:11:41:11:BC,-76.0,29,2,30
A_306,F8:D1:11:41:11:BC,-70.0,29,4,38
A_306,F8:D1:11:41:11:BC,-70.0,29,5,38
A_306,F8:D1:11:41:11:BC,-72.0,30,1,35
A_306,F8:D1:11:41:11:BC,-74.0,30,2,32
A_306,F8:D1:11:41:11:BC,-68.0,30,3,40
A_306,F8:D1:11:41:11:BC,-74.0,30,4,32
A_306,F8:D1:11:41:11:BC,-69.0,30,5,39
