ssid,bssid,signal,x,y
B424,34:0A:33:7E:31:5C,-82.0,8,5
B424,34:0A:33:7E:31:5C,-82.0,8,5
B424,34:0A:33:7E:31:5C,-82.0,8,5
B424,34:0A:33:7E:31:5C,-84.0,17,4
B424,34:0A:33:7E:31:5C,-84.0,17,4
B424,34:0A:33:7E:31:5C,-82.0,17,4
B424,34:0A:33:7E:31:5C,-76.0,18,2
B424,34:0A:33:7E:31:5C,-78.0,18,2
B424,34:0A:33:7E:31:5C,-78.0,18,2
B424,34:0A:33:7E:31:5C,-98.0,19,1
B424,34:0A:33:7E:31:5C,-96.0,19,1
B424,34:0A:33:7E:31:5C,-97.0,19,1
B424,34:0A:33:7E:31:5C,-77.0,19,3
B424,34:0A:33:7E:31:5C,-81.0,19,3
B424,34:0A:33:7E:31:5C,-82.0,19,3
B424,34:0A:33:7E:31:5C,-75.0,23,5
B424,34:0A:33:7E:31:5C,-74.0,23,5
B424,34:0A:33:7E:31:5C,-74.0,23,5
B424,34:0A:33:7E:31:5C,-75.0,25,4
B424,34:0A:33:7E:31:5C,-72.0,25,4
B424,34:0A:33:7E:31:5C,-72.0,25,4
B424,34:0A:33:7E:31:5C,-67.0,25,5
B424,34:0A:33:7E:31:5C,-68.0,25,5
B424,34:0A:33:7E:31:5C,-69.0,25,5
B424,34:0A:33:7E:31:5C,-68.0,26,4
B424,34:0A:33:7E:31:5C,-69.0,26,4
B424,34:0A:33:7E:31:5C,-72.0,26,4
B424,34:0A:33:7E:31:5C,-70.0,26,5
B424,34:0A:33:7E:31:5C,-71.0,26,5
B424,34:0A:33:7E:31:5C,-72.0,26,5
B424,34:0A:33:7E:31:5C,-74.0,27,3
B424,34:0A:33:7E:31:5C,-72.0,27,3
B424,34:0A:33:7E:31:5C,-73.0,27,3
B424,34:0A:33:7E:31:5C,-70.0,27,4
B424,34:0A:33:7E:31:5C,-70.0,27,4
B424,34:0A:33:7E:31:5C,-71.0,27,4
B424,34:0A:33:7E:31:5C,-71.0,28,4
B424,34:0A:33:7E:31:5C,-72.0,28,4
B424,34:0A:33:7E:31:5C,-73.0,28,4
B424,34:0A:33:7E:31:5C,-95.0,30,2
B424,34:0A:33:7E:31:5C,-91.0,30,2
B424,34:0A:33:7E:31:5C,-88.0,30,2
B424,34:0A:33:7E:31:5C,-72.0,30,5
B424,34:0A:33:7E:31:5C,-67.0,30,5
B424,34:0A:33:7E:31:5C,-68.0,30,5
