x,y,bssid,signal,ssid
8,5,34:0A:33:7E:31:5C,-82,B424
17,4,34:0A:33:7E:31:5C,-83,B424
18,2,34:0A:33:7E:31:5C,-77,B424
19,1,34:0A:33:7E:31:5C,-97,B424
19,3,34:0A:33:7E:31:5C,-80,B424
23,5,34:0A:33:7E:31:5C,-74,B424
25,4,34:0A:33:7E:31:5C,-73,B424
25,5,34:0A:33:7E:31:5C,-68,B424
26,4,34:0A:33:7E:31:5C,-70,B424
26,5,34:0A:33:7E:31:5C,-71,B424
27,3,34:0A:33:7E:31:5C,-73,B424
27,4,34:0A:33:7E:31:5C,-70,B424
28,4,34:0A:33:7E:31:5C,-72,B424
30,2,34:0A:33:7E:31:5C,-91,B424
30,5,34:0A:33:7E:31:5C,-69,B424
