x,y,bssid,signal,ssid
10,4,34:0A:33:7E:31:5C,-83,B424
14,2,34:0A:33:7E:31:5C,-83,B424
14,3,34:0A:33:7E:31:5C,-82,B424
15,1,34:0A:33:7E:31:5C,-81,B424
16,1,34:0A:33:7E:31:5C,-85,B424
17,3,34:0A:33:7E:31:5C,-82,B424
18,1,34:0A:33:7E:31:5C,-87,B424
19,2,34:0A:33:7E:31:5C,-76,B424
23,3,34:0A:33:7E:31:5C,-74,B424
23,5,34:0A:33:7E:31:5C,-73,B424
24,3,34:0A:33:7E:31:5C,-73,B424
24,4,34:0A:33:7E:31:5C,-74,B424
24,5,34:0A:33:7E:31:5C,-76,B424
25,2,34:0A:33:7E:31:5C,-14,B424
25,4,34:0A:33:7E:31:5C,-71,B424
26,3,34:0A:33:7E:31:5C,-72,B424
26,5,34:0A:33:7E:31:5C,-75,B424
27,1,34:0A:33:7E:31:5C,-74,B424
27,2,34:0A:33:7E:31:5C,-72,B424
27,4,34:0A:33:7E:31:5C,-71,B424
28,3,34:0A:33:7E:31:5C,-72,B424
28,4,34:0A:33:7E:31:5C,-71,B424
29,2,34:0A:33:7E:31:5C,-78,B424
30,2,34:0A:33:7E:31:5C,-73,B424
30,4,34:0A:33:7E:31:5C,-72,B424
