ssid,bssid,signal,x,y
B424,34:0A:33:7E:31:5C,-84.0,3,2
B424,34:0A:33:7E:31:5C,-86.0,5,5
B424,34:0A:33:7E:31:5C,-84.0,6,5
B424,34:0A:33:7E:31:5C,-82.0,7,5
B424,34:0A:33:7E:31:5C,-84.0,8,3
B424,34:0A:33:7E:31:5C,-82.0,8,4
B424,34:0A:33:7E:31:5C,-82.0,8,5
B424,34:0A:33:7E:31:5C,-82.0,8,5
B424,34:0A:33:7E:31:5C,-82.0,8,5
B424,34:0A:33:7E:31:5C,-84.0,9,2
B424,34:0A:33:7E:31:5C,-82.0,9,4
B424,34:0A:33:7E:31:5C,-80.0,11,1
B424,34:0A:33:7E:31:5C,-88.0,11,3
B424,34:0A:33:7E:31:5C,-82.0,13,1
B424,34:0A:33:7E:31:5C,-78.0,14,1
B424,34:0A:33:7E:31:5C,-82.0,14,2
B424,34:0A:33:7E:31:5C,-82.0,14,2
B424,34:0A:33:7E:31:5C,-83.0,15,1
B424,34:0A:33:7E:31:5C,-84.0,15,1
B424,34:0A:33:7E:31:5C,-82.0,15,5
B424,34:0A:33:7E:31:5C,-82.0,15,5
B424,34:0A:33:7E:31:5C,-84.0,16,2
B424,34:0A:33:7E:31:5C,-84.0,16,2
B424,34:0A:33:7E:31:5C,-84.0,16,3
B424,34:0A:33:7E:31:5C,-84.0,16,5
B424,34:0A:33:7E:31:5C,-82.0,16,5
B424,34:0A:33:7E:31:5C,-80.0,17,1
B424,34:0A:33:7E:31:5C,-84.0,17,4
B424,34:0A:33:7E:31:5C,-84.0,17,4
B424,34:0A:33:7E:31:5C,-82.0,17,4
B424,34:0A:33:7E:31:5C,-82.0,17,5
B424,34:0A:33:7E:31:5C,-84.0,17,5
B424,34:0A:33:7E:31:5C,-80.0,18,1
B424,34:0A:33:7E:31:5C,-78.0,18,1
B424,34:0A:33:7E:31:5C,-76.0,18,2
B424,34:0A:33:7E:31:5C,-78.0,18,2
B424,34:0A:33:7E:31:5C,-78.0,18,2
B424,34:0A:33:7E:31:5C,-82.0,18,5
B424,34:0A:33:7E:31:5C,-82.0,18,5
B424,34:0A:33:7E:31:5C,-98.0,19,1
B424,34:0A:33:7E:31:5C,-96.0,19,1
B424,34:0A:33:7E:31:5C,-97.0,19,1
B424,34:0A:33:7E:31:5C,-76.0,19,2
B424,34:0A:33:7E:31:5C,-77.0,19,3
B424,34:0A:33:7E:31:5C,-81.0,19,3
B424,34:0A:33:7E:31:5C,-82.0,19,3
B424,34:0A:33:7E:31:5C,-82.0,19,5
B424,34:0A:33:7E:31:5C,-78.0,20,3
B424,34:0A:33:7E:31:5C,-72.0,21,4
B424,34:0A:33:7E:31:5C,-78.0,22,1
B424,34:0A:33:7E:31:5C,-72.0,22,3
B424,34:0A:33:7E:31:5C,-73.0,22,3
B424,34:0A:33:7E:31:5C,-74.0,22,5
B424,34:0A:33:7E:31:5C,-76.0,23,3
B424,34:0A:33:7E:31:5C,-74.0,23,3
B424,34:0A:33:7E:31:5C,-76.0,23,4
B424,34:0A:33:7E:31:5C,-74.0,23,4
B424,34:0A:33:7E:31:5C,-75.0,23,5
B424,34:0A:33:7E:31:5C,-74.0,23,5
B424,34:0A:33:7E:31:5C,-74.0,23,5
B424,34:0A:33:7E:31:5C,-76.0,24,2
B424,34:0A:33:7E:31:5C,-75.0,24,3
B424,34:0A:33:7E:31:5C,-74.0,24,3
B424,34:0A:33:7E:31:5C,-71.0,24,4
B424,34:0A:33:7E:31:5C,-70.0,24,4
B424,34:0A:33:7E:31:5C,-70.0,24,5
B424,34:0A:33:7E:31:5C,-72.0,24,5
B424,34:0A:33:7E:31:5C,-74.0,25,1
B424,34:0A:33:7E:31:5C,-80.0,25,3
B424,34:0A:33:7E:31:5C,-78.0,25,3
B424,34:0A:33:7E:31:5C,-75.0,25,4
B424,34:0A:33:7E:31:5C,-72.0,25,4
B424,34:0A:33:7E:31:5C,-72.0,25,4
B424,34:0A:33:7E:31:5C,-67.0,25,5
B424,34:0A:33:7E:31:5C,-68.0,25,5
B424,34:0A:33:7E:31:5C,-69.0,25,5
B424,34:0A:33:7E:31:5C,-74.0,26,2
B424,34:0A:33:7E:31:5C,-76.0,26,2
B424,34:0A:33:7E:31:5C,-70.0,26,3
B424,34:0A:33:7E:31:5C,-68.0,26,4
B424,34:0A:33:7E:31:5C,-69.0,26,4
B424,34:0A:33:7E:31:5C,-72.0,26,4
B424,34:0A:33:7E:31:5C,-70.0,26,5
B424,34:0A:33:7E:31:5C,-71.0,26,5
