ssid,bssid,signal,x,y
B424,34:0A:33:7E:31:5C,-88.0,2,5
B424,34:0A:33:7E:31:5C,-86.0,4,1
B424,34:0A:33:7E:31:5C,-90.0,4,4
B424,34:0A:33:7E:31:5C,-82.0,5,1
B424,34:0A:33:7E:31:5C,-100.0,6,3
B424,34:0A:33:7E:31:5C,-90.0,6,4
B424,34:0A:33:7E:31:5C,-84.0,6,5
B424,34:0A:33:7E:31:5C,-85.0,6,5
B424,34:0A:33:7E:31:5C,-90.0,7,2
B424,34:0A:33:7E:31:5C,-88.0,7,4
B424,34:0A:33:7E:31:5C,-88.0,7,5
B424,34:0A:33:7E:31:5C,-88.0,8,5
B424,34:0A:33:7E:31:5C,-84.0,8,5
B424,34:0A:33:7E:31:5C,-82.0,9,5
B424,34:0A:33:7E:31:5C,-82.0,10,3
B424,34:0A:33:7E:31:5C,-84.0,10,4
B424,34:0A:33:7E:31:5C,-84.0,10,4
B424,34:0A:33:7E:31:5C,-82.0,10,4
B424,34:0A:33:7E:31:5C,-86.0,10,5
B424,34:0A:33:7E:31:5C,-84.0,11,1
B424,34:0A:33:7E:31:5C,-82.0,11,2
B424,34:0A:33:7E:31:5C,-80.0,11,3
B424,34:0A:33:7E:31:5C,-82.0,11,3
B424,34:0A:33:7E:31:5C,-82.0,11,4
B424,34:0A:33:7E:31:5C,-90.0,11,5
B424,34:0A:33:7E:31:5C,-80.0,12,1
B424,34:0A:33:7E:31:5C,-86.0,12,4
B424,34:0A:33:7E:31:5C,-84.0,13,3
B424,34:0A:33:7E:31:5C,-94.0,13,4
B424,34:0A:33:7E:31:5C,-84.0,13,5
B424,34:0A:33:7E:31:5C,-82.0,14,1
B424,34:0A:33:7E:31:5C,-82.0,14,1
B424,34:0A:33:7E:31:5C,-82.0,14,2
B424,34:0A:33:7E:31:5C,-84.0,14,2
B424,34:0A:33:7E:31:5C,-82.0,14,2
B424,34:0A:33:7E:31:5C,-82.0,14,3
B424,34:0A:33:7E:31:5C,-84.0,14,3
B424,34:0A:33:7E:31:5C,-81.0,14,3
B424,34:0A:33:7E:31:5C,-82.0,14,4
B424,34:0A:33:7E:31:5C,-82.0,15,1
B424,34:0A:33:7E:31:5C,-80.0,15,1
B424,34:0A:33:7E:31:5C,-81.0,15,1
B424,34:0A:33:7E:31:5C,-84.0,15,3
B424,34:0A:33:7E:31:5C,-84.0,15,3
B424,34:0A:33:7E:31:5C,-86.0,16,1
B424,34:0A:33:7E:31:5C,-84.0,16,1
B424,34:0A:33:7E:31:5C,-84.0,16,1
B424,34:0A:33:7E:31:5C,-86.0,16,4
B424,34:0A:33:7E:31:5C,-99.0,17,2
B424,34:0A:33:7E:31:5C,-82.0,17,3
B424,34:0A:33:7E:31:5C,-83.0,17,3
B424,34:0A:33:7E:31:5C,-82.0,17,3
B424,34:0A:33:7E:31:5C,-83.0,17,4
B424,34:0A:33:7E:31:5C,-86.0,17,5
B424,34:0A:33:7E:31:5C,-90.0,17,5
B424,34:0A:33:7E:31:5C,-88.0,18,1
B424,34:0A:33:7E:31:5C,-86.0,18,1
B424,34:0A:33:7E:31:5C,-86.0,18,1
B424,34:0A:33:7E:31:5C,-82.0,18,2
B424,34:0A:33:7E:31:5C,-80.0,18,3
B424,34:0A:33:7E:31:5C,-78.0,18,3
B424,34:0A:33:7E:31:5C,-80.0,18,4
B424,34:0A:33:7E:31:5C,-82.0,18,4
B424,34:0A:33:7E:31:5C,-85.0,18,5
B424,34:0A:33:7E:31:5C,-86.0,18,5
B424,34:0A:33:7E:31:5C,-78.0,19,1
B424,34:0A:33:7E:31:5C,-79.0,19,2
B424,34:0A:33:7E:31:5C,-74.0,19,2
B424,34:0A:33:7E:31:5C,-76.0,19,2
B424,34:0A:33:7E:31:5C,-82.0,19,3
B424,34:0A:33:7E:31:5C,-82.0,19,3
B424,34:0A:33:7E:31:5C,-82.0,19,4
