x,y,bssid,signal,ssid,signal_percentage
8,5,34:0A:33:7E:31:5C,-82,B424,22
17,4,34:0A:33:7E:31:5C,-83,B424,21
18,2,34:0A:33:7E:31:5C,-77,B424,29
19,1,34:0A:33:7E:31:5C,-97,B424,4
19,3,34:0A:33:7E:31:5C,-80,B424,25
23,5,34:0A:33:7E:31:5C,-74,B424,32
25,4,34:0A:33:7E:31:5C,-73,B424,34
25,5,34:0A:33:7E:31:5C,-68,B424,40
26,4,34:0A:33:7E:31:5C,-70,B424,38
26,5,34:0A:33:7E:31:5C,-71,B424,36
27,3,34:0A:33:7E:31:5C,-73,B424,34
27,4,34:0A:33:7E:31:5C,-70,B424,38
28,4,34:0A:33:7E:31:5C,-72,B424,35
30,2,34:0A:33:7E:31:5C,-91,B424,11
30,5,34:0A:33:7E:31:5C,-69,B424,39
