x,y,bssid,signal,ssid,signal_percentage
10,4,34:0A:33:7E:31:5C,-83,B424,21
14,2,34:0A:33:7E:31:5C,-83,B424,21
14,3,34:0A:33:7E:31:5C,-82,B424,22
15,1,34:0A:33:7E:31:5C,-81,B424,24
16,1,34:0A:33:7E:31:5C,-85,B424,19
17,3,34:0A:33:7E:31:5C,-82,B424,22
18,1,34:0A:33:7E:31:5C,-87,B424,16
19,2,34:0A:33:7E:31:5C,-76,B424,30
23,3,34:0A:33:7E:31:5C,-74,B424,32
23,5,34:0A:33:7E:31:5C,-73,B424,34
24,3,34:0A:33:7E:31:5C,-73,B424,34
24,4,34:0A:33:7E:31:5C,-74,B424,32
24,5,34:0A:33:7E:31:5C,-76,B424,30
25,2,34:0A:33:7E:31:5C,-14,B424,100
25,4,34:0A:33:7E:31:5C,-71,B424,36
26,3,34:0A:33:7E:31:5C,-72,B424,35
26,5,34:0A:33:7E:31:5C,-75,B424,31
27,1,34:0A:33:7E:31:5C,-74,B424,32
27,2,34:0A:33:7E:31:5C,-72,B424,35
27,4,34:0A:33:7E:31:5C,-71,B424,36
28,3,34:0A:33:7E:31:5C,-72,B424,35
28,4,34:0A:33:7E:31:5C,-71,B424,36
29,2,34:0A:33:7E:31:5C,-78,B424,28
30,2,34:0A:33:7E:31:5C,-73,B424,34
30,4,34:0A:33:7E:31:5C,-72,B424,35
