ssid,bssid,x_marker,y_marker
DCTI-PUBLIC,E0:1C:FC:94:13:77,16,3
DCTI-PUBLIC,E0:1C:FC:94:19:32,18,3
DCTI-PUBLIC,E0:1C:FC:94:19:23,18,3
DCTI-PUBLIC,E0:1C:FC:94:19:1D,26,3
AC-Guest,A0:AB:1B:7A:96:C8,12,3
OOS-Vodafone Wi-Fi,00:0D:67:33:9D:75,15,3
OOS-Vodafone Wi-Fi,00:0D:67:33:A8:01,8,3
OpenWrt,00:18:E7:89:72:29,13,3
A304,98:DA:C4:3F:10:A7,15,3
A108_2.4G,9C:53:22:7E:C3:BA,15,3
LSFETc,74:DA:88:48:48:65,8,3
SACI-A109-2G,18:31:BF:64:EB:A8,18,3
DWR-953-B203-2G,E0:1C:FC:D8:B2:04,23,3
DecanatET_Guest,EA:C3:2A:C9:28:BA,15,3
DecanatET_Guest,EA:C3:2A:C9:29:C2,16,3
Etc_A205,30:16:9D:6D:62:04,17,3
DecanatET,E4:C3:2A:C9:28:BA,16,3
DecanatET,E4:C3:2A:C9:29:C2,15,3
uetm,F0:2F:74:2C:C0:30,13,3
uetm,F0:2F:74:2D:33:01,14,3
uetm_guest,7A:2F:74:2C:C0:31,14,3
Consiliu,00:1F:CF:11:76:CC,16,3
Liga AC LABS_2.4G,00:EB:D8:E5:77:DE,14,3
B329,E8:48:B8:64:B6:C3,17,3
LIGA_AC_STUDENTI,C8:7F:54:58:EB:61,10,3
LIGA_AC_HQ,C8:7F:54:58:EB:60,9,3
WETC-B128,76:D0:2B:9B:FF:B3,16,3
POWER-EA,74:D0:2B:9B:FF:B2,16,3
1e790931,F4:91:1E:79:09:31,7,3
StaffCM,04:95:E6:06:77:61,17,3
SACI-A107a-2G,18:31:BF:64:EB:E8,16,3
ETcTI,00:1D:60:19:98:D4,15,3
UPT-eduroam,24:DE:C6:7C:CA:F0,17,3
UPT-eduroam,24:DE:C6:9C:58:B0,2,3
UPT-eduroam,24:DE:C6:9C:74:A0,13,3
UPT-eduroam,24:DE:C6:9E:F3:10,6,3
UPT-eduroam,24:DE:C6:9C:5A:F0,1,3
UPT-eduroam,24:DE:C6:9C:76:90,2,2
UPT-eduroam,24:DE:C6:9E:F0:B0,6,3
UPT-eduroam,24:DE:C6:9C:5B:D0,1,3
UPT-eduroam,24:DE:C6:9E:F8:E0,11,3
UPT-eduroam,D8:C7:C8:04:70:20,20,3
UPT-eduroam,24:DE:C6:9E:F2:D0,21,3
UPT-eduroam,24:DE:C6:9C:4F:90,22,5
UPT-eduroam,24:DE:C6:9E:F3:30,21,3
UPT-eduroam,24:DE:C6:9E:F5:C0,24,1
UPT-eduroam,24:DE:C6:9C:56:C0,24,2
UPT-eduroam,24:DE:C6:9E:F6:00,24,3
DIRECT-ZL-Pantum M7300 Series,42:AA:56:98:F0:3C,3,1
Off Limits2,B4:0F:3B:6E:D9:51,20,3
Tenda_709990,B4:0F:3B:70:99:94,16,3
Electronica1,34:60:F9:A8:05:92,16,3
Razvanâ€™s iPhone,6E:9A:FC:EB:77:6E,2,2
B714,00:1F:CF:11:7F:56,16,3
Stand_3_Siemens,00:1E:42:16:CB:CA,19,3
studcm,C0:C1:C0:D1:DB:68,15,3
android027,00:24:01:E7:63:35,18,3
AIA,98:DA:C4:3F:1E:FF,17,3
AIA,70:4C:A5:C8:ED:F2,18,3
AIA,98:DA:C4:73:A9:0C,17,3
AIA,98:DA:C4:3F:07:D1,27,3
PowerTheWorld1.1,B0:48:7A:A0:4F:92,7,3
PowerTheWorld2,00:23:CD:18:8C:64,7,3
C211A,00:23:54:02:2C:A9,1,1
A_306,F8:D1:11:41:11:BC,18,3
LSFEE WiFi 2.4,C4:6E:1F:37:89:48,6,3
BFI,C8:3A:35:0E:BF:78,1,2
DIRECT-97-HP M477 LaserJet,82:2B:F9:E8:3C:97,20,3
WETC32,00:1F:CF:11:76:C4,18,3
CONFERENCE,84:D4:7E:2A:7E:60,2,3
CONFERENCE,84:D4:7E:2A:81:80,2,3
ZyXEL03,00:19:CB:7E:70:30,3,4
B029,A8:42:A1:69:A0:56,21,3
Lab TFI,50:D4:F7:BB:C8:85,12,3
Vodafone-05856A,B8:D4:BC:05:85:6A,18,3
B129,A0:F3:C1:6A:30:36,17,3
70mai_Pro Plus+_e594,44:27:F3:A6:E5:94,2,3
Xiaomi 11T Pro,22:FE:9F:C1:F5:E5,1,5
D108,54:B8:0A:13:92:C2,12,2
TP-Link_3167,C0:06:C3:1A:31:67,11,2
ShellyPlus2PM-B8D61A8939BC,B8:D6:1A:89:39:BD,13,2
Rivere,7E:45:58:24:EB:CB,13,1
Audi A7 MMI - Vlad,44:91:60:EF:C9:C0,10,1
iOT-RIV,22:E8:29:6D:D4:B9,13,2
iOT-RIV,82:45:58:24:EB:CB,13,2
DIRECT-DC-HP Laser 137fnw,B2:22:7A:52:28:DC,20,3
Cayenne_0846,12:E8:A7:6D:5C:2F,10,3
smartmove-upt,84:D8:1B:FC:C1:B0,14,2
AC_guest,A0:AB:1B:7A:95:B6,20,3
ASUS,54:A0:50:B5:08:90,7,3
WiFi_STPT824E,20:97:27:23:82:4E,11,3
Etc_A316_2.4G,40:AE:30:44:8C:13,13,3
Redmi 13C,5E:9F:B1:EA:59:1C,10,5
WirelessD1,E0:1C:FC:D8:B2:01,10,3
USER-PC_Network,C8:BE:19:B2:FA:14,15,3
Porsche_WLAN_2667,10:98:C3:27:4D:27,11,1
B424,34:0A:33:7E:31:5C,22,3
Decanat_Etc,9C:53:22:3A:E5:BC,18,3
WiFi_STPT457F,20:97:27:2E:45:7F,14,3
RG60SE_A6,00:1F:CF:11:83:08,21,3
B624,B4:F1:8C:B7:93:C0,18,3
Berarescu,1E:E8:29:6D:D4:B9,14,1
LabD010,00:23:69:9A:3A:4E,13,1
Redmi Note 13 Pro 5G,6E:46:71:59:BA:6A,17,3
A315,60:E3:27:2A:71:B6,17,4
70mai_Pro Plus+_c3ff,44:27:F3:A5:C3:FF,13,2
TP-LINK_A2,B0:48:7A:B2:59:38,22,3
70mai_d06_42fd,2C:05:47:C7:42:FD,13,4
WiFi_STPT793B,20:97:27:20:79:3B,11,3
INTERN,18:E8:29:6D:D4:B9,14,2
INTERN,64:A5:C3:66:C1:12,14,3
decanat-ac,BC:0F:9A:5B:0B:76,21,3
DIRECT-BMW 45781,8A:5A:85:51:A6:DA,14,3
HUAWEI nova 5T,42:4A:84:39:55:71,14,3
realme C3,2E:63:97:12:DE:1B,15,1
ContiLAB,04:95:E6:89:EC:42,17,3
My VW 5092,FE:84:A7:94:B6:0D,15,4
70mai_Pro Plus+_6d2e,44:27:F3:78:6D:2E,15,5
iPhone - Bogdan,F2:F9:D1:CF:F3:68,16,1
WETc-A116,7C:8B:CA:41:0D:D4,21,2
70mai_A810_b0a4,44:27:F3:7B:B0:A4,16,5
70mai_d08_a42e,20:57:9E:15:A4:2E,16,5
WiFi_STPTEB2E,20:97:27:21:EB:2E,18,2
HUAWEI Y6 2019,06:8C:9A:C0:F3:AA,18,3
O retea,D6:E6:B7:44:D9:1F,18,4
70mai_Pro Plus+_d65c,B8:59:C8:0B:D6:5C,18,5
Timisoara_AP,00:0C:43:86:48:24,19,4
70mai_M500_408c,44:27:F3:6C:40:8C,19,1
Smartphone_connect_9d0d2f,CE:57:63:9D:0D:2F,19,2
Audi_MMI_4912,5A:E4:03:F2:35:C6,19,3
70mai_A200_9e80,B8:59:C8:00:9E:80,19,4
BFI_UPT,D8:07:B6:10:F7:38,4,4
Redmi Note 11 Pro 5G,B2:9E:91:D6:C1:BD,2,1
LSFEE Guest 2.4,C6:6E:1F:34:89:48,3,3
Smartphone_connect_6758fb,CE:57:63:67:58:FB,7,3
Razvan,9A:38:AF:76:A3:38,2,3
Galaxy A12B5F2,36:B9:0F:09:6A:01,20,1
WiFi_STPTFEB4,20:97:27:2A:FE:B4,20,3
HotspotF7F4,00:54:AF:4C:F7:F4,20,4
OK309Cam-CFIS6202,0C:C1:19:50:FC:85,22,1
DIRECT-F4-HP Smart Tank 710-720,E2:70:EA:02:0C:F4,25,2
WiFi_STPT753A,20:97:27:20:75:3A,24,2
My VW 5760,DA:10:68:0E:F9:E8,24,3
70mai_M200_61ef,BC:FD:0C:94:61:EF,25,3
Telekom-xjioCm,70:0B:01:05:B7:51,28,3
OK309Cam-37B36302,CC:B8:5E:14:C3:2E,27,3
Orange-23pY-2.4G,D4:D5:1B:05:75:94,27,5
My Skoda 3593,D2:40:EF:CC:25:30,29,2
SYNC_XV45HYYH,00:26:B4:EB:5C:BC,20,3
Tenda_6176,58:D9:D5:00:61:76,4,1
WLAN,4A:F0:7B:07:B5:92,5,2
B020,C8:D7:19:EA:E4:77,30,2
70mai_A810_b25a,44:27:F3:7B:B2:5A,30,2
MasterYoda2G,1C:5F:2B:64:F1:E0,30,2
WiFi_STPTF085,20:97:27:28:F0:85,4,2
Audi_MMI_0168,CC:C0:79:97:E5:35,4,1
70mai_A510_97a8,B8:59:C8:02:97:A8,4,1
70mai_d06_a16d,2C:05:47:9F:A1:6D,4,2
70mai_A810_d0b4,44:27:F3:8D:D0:B4,4,3
