SSID,BSSID,RSSI,Frequency(MHz)
OpenWrt,00:18:E7:89:72:29,-73,2.462
OOS-Vodafone Wi-Fi,00:0D:67:33:9D:75,-64,2.462
A304,98:DA:C4:3F:10:A7,-74,2.462
AIA,98:DA:C4:3F:1E:FF,-69,2.437
DecanatET,E4:C3:2A:C9:29:C2,-74,2.452
A108_2.4G,9C:53:22:7E:C3:BA,-58,2.427
Electronica1,34:60:F9:A8:05:92,-68,2.422
Etc_A205,30:16:9D:6D:62:04,-58,2.457
DIRECT-97-HP M477 LaserJet,82:2B:F9:E8:3C:97,-72,2.447
studcm,C0:C1:C0:D1:DB:68,-69,2.462
Consiliu,00:1F:CF:11:76:CC,-56,2.437
Tenda_709990,B4:0F:3B:70:99:94,-60,2.422
DCTI-PUBLIC,E0:1C:FC:94:19:1D,-80,2.427
70mai_A200_9e80,B8:59:C8:00:9E:80,-82,2.412
Liga AC LABS_2.4G,00:EB:D8:E5:77:DE,-58,2.417
UPT-eduroam,D8:C7:C8:04:70:20,-90,2.462
B129,A0:F3:C1:6A:30:36,-70,2.462
SACI-A109-2G,18:31:BF:64:EB:A8,-32,2.462
Stand_3_Siemens,00:1E:42:16:CB:CA,-68,2.462
B714,00:1F:CF:11:7F:56,-76,2.437
WETC32,00:1F:CF:11:76:C4,-71,2.437
Galaxy A12B5F2,36:B9:0F:09:6A:01,-68,2.437
A_306,F8:D1:11:41:11:BC,-70,2.437
70mai_X200_9a16,44:27:F3:75:9A:16,-82,2.412
WETC-B128,76:D0:2B:9B:FF:B3,-65,2.412
POWER-EA,74:D0:2B:9B:FF:B2,-66,2.412
UPT-eduroam,24:DE:C6:7C:CA:F0,-63,2.412
AIA,70:4C:A5:C8:ED:F2,-66,2.412
StaffCM,04:95:E6:06:77:61,-58,2.412
ETcTI,00:1D:60:19:98:D4,-64,2.412
SACI-A107a-2G,18:31:BF:64:EB:E8,-69,2.412
