SSID,BSSID,RSSI,Frequency(MHz)
DCTI-PUBLIC,E0:1C:FC:94:13:77,-84,2.472
AC-Guest,A0:AB:1B:7A:96:C8,-68,2.462
OOS-Vodafone Wi-Fi,00:0D:67:33:9D:75,-63,2.462
android027,00:24:01:E7:63:35,-81,2.472
A304,98:DA:C4:3F:10:A7,-70,2.462
WETC-B128,76:D0:2B:9B:FF:B3,-73,2.462
AIA,98:DA:C4:3F:1E:FF,-75,2.437
DecanatET_Guest,EA:C3:2A:C9:29:C2,-65,2.452
uetm,F0:2F:74:2C:C0:30,-64,2.447
Tenda_709990,B4:0F:3B:70:99:94,-66,2.452
Etc_A205,30:16:9D:6D:62:04,-74,2.457
DecanatET,E4:C3:2A:C9:28:BA,-100,2.452
DecanatET,E4:C3:2A:C9:29:C2,-15,2.452
Consiliu,00:1F:CF:11:76:CC,-64,2.437
uetm_guest,7A:2F:74:2C:C0:31,-66,2.447
DecanatET_Guest,EA:C3:2A:C9:28:BA,-76,2.452
Liga AC LABS_2.4G,00:EB:D8:E5:77:DE,-62,2.417
ETcTI,00:1D:60:19:98:D4,-64,2.412
LIGA_AC_HQ,C8:7F:54:58:EB:60,-70,2.417
OOS-Vodafone Wi-Fi,00:0D:67:33:A8:01,-73,2.437
B714,00:1F:CF:11:7F:56,-72,2.437
StaffCM,04:95:E6:06:77:61,-65,2.442
A_306,F8:D1:11:41:11:BC,-78,2.437
UPT-eduroam,24:DE:C6:9E:F0:B0,-84,2.412
AIA,70:4C:A5:C8:ED:F2,-79,2.412
UPT-eduroam,24:DE:C6:9E:F8:E0,-74,2.412
SACI-A107a-2G,18:31:BF:64:EB:E8,-69,2.412
POWER-EA,74:D0:2B:9B:FF:B2,-70,2.462
studcm,C0:C1:C0:D1:DB:68,-64,2.462
SACI-A109-2G,18:31:BF:64:EB:A8,-6,2.462
