ssid,bssid,x_marker,y_marker
OpenWrt,00:18:E7:89:72:29,13,3
AC-Guest,A0:AB:1B:7A:96:C8,13,3
OOS-Vodafone Wi-Fi,00:0D:67:33:9D:75,15,3
OOS-Vodafone Wi-Fi,00:0D:67:33:A8:01,7,3
B129,A0:F3:C1:6A:30:36,19,3
studcm,C0:C1:C0:D1:DB:68,16,3
SACI-A109-2G,18:31:BF:64:EB:A8,19,3
DWR-953-B203-2G,E0:1C:FC:D8:B2:04,23,3
DecanatET,E4:C3:2A:C9:28:BA,14,3
DecanatET,E4:C3:2A:C9:29:C2,16,3
DecanatET_Guest,EA:C3:2A:C9:28:BA,14,3
DecanatET_Guest,EA:C3:2A:C9:29:C2,16,3
uetm_guest,7A:2F:74:2C:C0:31,12,3
B714,00:1F:CF:11:7F:56,16,3
Consiliu,00:1F:CF:11:76:CC,15,3
Centrul de Dezvoltare AcademicÄƒ,E8:48:B8:63:AD:A3,3,3
Electronica1,34:60:F9:A8:05:92,14,3
ETcTI,00:1D:60:19:98:D4,14,3
Liga AC LABS_2.4G,00:EB:D8:E5:77:DE,15,3
A304,98:DA:C4:3F:10:A7,15,3
Etc_A205,30:16:9D:6D:62:04,16,3
PowerTheWorld1.1,B0:48:7A:A0:4F:92,7,3
LSFETc,74:DA:88:48:48:65,7,2
Infinix SMART 6,1A:7A:4C:23:BE:34,1,1
WETC32,00:1F:CF:11:76:C4,20,3
UPT-eduroam,24:DE:C6:7C:CA:F0,17,3
UPT-eduroam,24:DE:C6:9C:74:A0,11,3
UPT-eduroam,24:DE:C6:9C:5B:D0,2,2
UPT-eduroam,24:DE:C6:9E:F3:10,5,3
UPT-eduroam,24:DE:C6:9E:F0:B0,7,3
UPT-eduroam,24:DE:C6:9E:F8:E0,10,3
UPT-eduroam,D8:C7:C8:04:70:20,22,3
UPT-eduroam,24:DE:C6:9C:70:C0,2,2
UPT-eduroam,24:DE:C6:9C:58:B0,2,4
UPT-eduroam,24:DE:C6:9E:F2:D0,21,3
UPT-eduroam,24:DE:C6:9E:F5:C0,23,2
UPT-eduroam,24:DE:C6:9E:F3:30,21,3
UPT-eduroam,24:DE:C6:9C:56:C0,25,4
UPT-eduroam,24:DE:C6:9E:F6:00,25,2
PowerTheWorld2,00:23:CD:18:8C:64,7,3
uetm,F0:2F:74:2C:C0:30,12,3
uetm,F0:2F:74:2D:33:01,13,3
Lab TFI,50:D4:F7:BB:C8:85,9,3
A108_2.4G,9C:53:22:7E:C3:BA,16,3
LIGA_AC_STUDENTI,C8:7F:54:58:EB:61,7,3
LIGA_AC_HQ,C8:7F:54:58:EB:60,8,3
Stand_3_Siemens,00:1E:42:16:CB:CA,20,3
POWER-EA,74:D0:2B:9B:FF:B2,17,3
D012,00:19:CB:32:D4:2E,1,1
CONFERENCE,84:D4:7E:2A:81:80,3,3
Wifi_Stpt,00:0C:43:E1:76:11,1,1
StaffCM,04:95:E6:06:77:61,17,3
1e790931,F4:91:1E:79:09:31,10,3
AIA,70:4C:A5:C8:ED:F2,19,3
AIA,98:DA:C4:3F:1E:FF,17,3
AIA,98:DA:C4:73:A9:0C,17,4
AIA,98:DA:C4:3F:07:D1,25,3
android027,00:24:01:E7:63:35,17,3
DCTI-PUBLIC,E0:1C:FC:94:19:32,17,3
DCTI-PUBLIC,E0:1C:FC:94:19:23,19,3
DCTI-PUBLIC,E0:1C:FC:94:19:1D,23,4
DCTI-PUBLIC,E0:1C:FC:94:13:77,15,3
DIRECT-97-HP M477 LaserJet,82:2B:F9:E8:3C:97,20,3
Tenda_709990,B4:0F:3B:70:99:94,17,3
AC_guest,A0:AB:1B:7A:95:B6,18,3
WETC-B128,76:D0:2B:9B:FF:B3,17,3
ZyXEL03,00:19:CB:7E:70:30,3,3
SACI-A107a-2G,18:31:BF:64:EB:E8,15,3
DIRECT-DC-HP Laser 137fnw,B2:22:7A:52:28:DC,15,2
Robotica,60:22:32:2F:7F:5E,2,3
ASUS,54:A0:50:B5:08:90,7,3
Off Limits2,B4:0F:3B:6E:D9:51,22,3
B029,A8:42:A1:69:A0:56,22,3
B329,E8:48:B8:64:B6:C3,18,3
RG60SE_A6,00:1F:CF:11:83:08,21,3
A_306,F8:D1:11:41:11:BC,19,3
Audi A7 MMI - Vlad,44:91:60:EF:C9:C0,10,3
iOT-RIV,82:45:58:24:EB:CB,8,2
iOT-RIV,22:E8:29:6D:D4:B9,13,1
Rivere,7E:45:58:24:EB:CB,8,2
TP-Link_3167,C0:06:C3:1A:31:67,11,2
LabD010,00:23:69:9A:3A:4E,10,2
Tenda_6176,58:D9:D5:00:61:76,6,3
BFI_UPT,D8:07:B6:10:F7:38,5,3
Etc_A316_2.4G,40:AE:30:44:8C:13,13,3
D108,54:B8:0A:13:92:C2,13,2
TP-LINK_A2,B0:48:7A:B2:59:38,19,3
ContiLAB,04:95:E6:89:EC:42,20,2
B424,34:0A:33:7E:31:5C,21,3
Cayenne_0846,12:E8:A7:6D:5C:2F,10,3
WiFi_STPT793B,20:97:27:20:79:3B,6,4
A25 al utilizatorului Evelyn,5E:9B:FA:1B:CC:C1,10,4
Redmi Note 13 Pro 5G,6E:46:71:59:BA:6A,17,3
WETc-A116,7C:8B:CA:41:0D:D4,17,3
INTERN,64:A5:C3:66:C1:12,14,4
vYou_DDPai_M6Plus,44:2C:05:D2:F6:42,11,2
